ADRES,NAZWA,TYP,ROZMIAR,LICZBA,FORMULA,FORMULA1,OPIS,OPIS1,SLOWNIK,REGWYM,WYMOG,UWAGI,POLECENIE,POLECENIE1,WYST,DT_DOD
JPK_ST_1\3.EWP\Wiersz\05.F_5\,.,Z,0,,"iif(!empty(KD->KSEF),trim(KD->KSEF), .F.)",,"Okre˜lenie numeru dokumentu, na podstawie kt¢rego przyj©to ˜rodek trwaˆy lub warto˜† niematerialn¥ i prawn¥ (max 256 znak¢w) (pole opcjonalne)",,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\06.F_6\,,Z,0,,"iif(!empty(KD->KKS),trim(KD->KKS), .F.)",,"Okre˜lenie rodzaju dokumentu stwierdzaj¥cego nabycie/wytworzenie. Rodzaj dokumentu wskazuje si© poprzez wyb¢r odpowiedniego oznaczenia: - S - umowa sprzeda¾y, - D - darowizna, - N - wkˆad niepieni©¾ny, - W - wytworzenie, - F - faktura VAT, - I - inne",,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\07.F_7\,,Z,0,,"iif(DK->(dbseek(KD->DST_KLI)) .and. !empty(DK->NIPBK),trim(DK->NIPBK),.F.)",,Nazwa ˜rodka trwaˆego lub warto˜ci niematerialnej i prawnej (max 256 znak¢w),,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\08.F_8\,.,N,12.2,,KP->KWOTA,,Symbol klasyfikacji ˜rodk¢w trwaˆych (K—T) (max 256 znak¢w) (pole opcjonalne),,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\09.F_9\,.,Z,6,,"iif(KPK->RE == val(str(KPK->RE,6,0)), str(KPK->RE,6,0), KPK->RE)",,"Stawka amortyzacyjna podatkowa podstawowa (warto˜† procentowa z przedziaˆu od ""0.00"" do ""100.00"" podawana z dokˆadno˜ci¥ do cz©˜ci setnych np. ""33.33"")",,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\10.F_10\,.,Z,0,,.F.,,"Warto˜† pocz¥tkowa podatkowa w PLN (max 18 cyfr, w tym 2 reprezentuj¥ce grosze, np. ""1123.45"")",,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\11.F_11\,.,Z,0,,.F.,,"Zaktualizowana warto˜† pocz¥tkowa podatkowa w PLN (max 18 cyfr, w tym 2 reprezentuj¥ce grosze, np. ""1123.45"") (pole opcjonalne)",,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\12.F_12\,.,Z,0,,.F.,,"Data likwidacji/zbycia/stwierdzenia niedoboru/kradzie¾y w formacie RRRR-MM-DD (np. ""2026-05-15"")",,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\13.F_13\,.,Z,0,,.F.,,"Przyczyna wykre˜lenia z wykazu wskazywana poprzez wyb¢r odpowiedniego oznaczenia: - S - sprzeda¾, - X - stwierdzenie niedoboru, - K - kradzie¾, - D - darowizna, - N - wkˆad niepieni©¾ny, - I - inne",,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\14.F_14\,.,Z,0,,.F.,,Okre˜lenie numeru dokumentu stwierdzaj¥cego wykre˜lenie z wykazu (max 256 znak¢w),,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\15.F_15\,.,Z,0,,.F.,,Wskazanie numeru dokumentu KSeF stwierdzaj¥cego zbycie (w©zeˆ umo¾liwia wskazanie nieograniczonej liczby nr KSeF) (w©zeˆ opcjonalny),,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\16.F_16\,.,Z,0,,.F.,,Reklasyfikacja: 1 - TAK; 2 - NIE,,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\t.TEST\,.,,,,.F.,,,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\t.TEST\KD_NR_DOK\,,Z,0,,KD->NR_DOK,,,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\t.TEST\KP_NR_DOK\,,Z,0,,KP->NR_DOK,,,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\3.EWP\\Wiersz\t.TEST\KD_NDK\,,Z,0,,"KD->RD + "" "" + KD->NDK",,,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\3.EWP\\Wiersz\t.TEST\KD_LP\,,Z,0,,KD->LP,,,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\3.EWP\\Wiersz\t.TEST\KP_LP\,,Z,0,,KP->LP,,,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\t.TEST\KP_KAT_KP\,,Z,0,,KP->KAT_KP,,,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\t.TEST\num\,,N,5,,VG('num'),,,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\t.TEST\kpid\,,N,5,,VG('kpid'),,,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\t.TEST\DK_NAZWA\,,Z,0,,DK->NAZWA,,TEST,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\4.PKPIR\,,,,,.not.VG('RE'),,Wiersze ewidencji ˜rodk¢w trwaˆych oraz warto˜ci niematerialnych i prawnych dla podmiot¢w prowadz¥cych podatkow¥ ksi©g© przychod¢w i rozchod¢w,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\4.PKPIR\Wiersz\,.,,0,999,".F. .and. left(KD->DATA,4)==VG('okr').and. iif(VP('num',VG('num')+1)<>0 .and. KP->(dbseek(vp('kpid',KD->NR_DOK+str(VG('num'), 2)))), KPK->(dbseek(KP->KAT_KP)) .or. .T., VP('num',0)==0.and.KD->(dbskip(1)) .or. .T.) ",".and. progress(""Ksi©ga"", 999, vg('Lp'))",,,,,,,,,0,2026.03.29 12:00:00
